pdf,page,index,source,side_pt,native_width,native_height,trimmed,detector_score,texture,x0,y0,x1,y1
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,18,0,contour,218.87,800,800,False,0.5,0.6606,80.81,142.97,299.02,361.83
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,18,1,contour,220.18,800,800,False,0.5,0.6691,81.13,513.31,299.35,733.48
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,18,2,contour,215.92,800,800,False,0.5,0.7174,324.54,144.28,539.81,360.2
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,18,3,contour,220.18,800,800,False,0.5,0.6459,323.23,513.31,541.44,733.48
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,35,0,contour,219.19,800,800,False,0.5,0.6563,81.13,142.64,300.33,361.51
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,35,1,contour,217.56,800,800,False,0.5,0.5733,83.1,514.29,299.02,731.85
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,35,2,contour,219.19,800,800,False,0.5,0.5518,322.9,142.31,541.44,361.51
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,35,3,contour,219.85,800,800,False,0.5,0.6437,323.56,512.98,541.44,732.83
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,51,0,contour,219.19,800,800,False,0.5,0.5723,81.79,142.64,300.0,361.83
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,51,1,contour,216.25,800,800,False,0.5,0.6826,83.75,515.27,298.69,731.52
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,51,2,contour,218.54,800,800,False,0.5,0.6039,323.23,142.97,541.44,361.51
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,51,3,contour,219.52,800,800,False,0.5,0.5693,323.23,513.31,542.1,732.83
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,68,0,contour,218.87,800,800,False,0.5,0.5377,80.15,143.62,298.69,362.49
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,68,1,contour,219.52,800,800,False,0.5,0.586,80.81,513.96,298.69,733.48
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,68,2,contour,215.92,800,800,False,0.5,0.6328,324.54,144.93,540.13,360.85
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,68,3,contour,216.9,800,800,False,0.5,0.6662,324.54,515.27,540.13,732.18
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,85,0,contour,215.6,800,800,False,0.5,0.6407,83.42,144.6,299.02,360.2
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,85,1,contour,219.85,800,800,False,0.5,0.5578,81.79,513.64,300.33,733.48
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,85,2,contour,218.87,800,800,False,0.5,0.6531,323.56,143.29,541.44,362.16
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,85,3,contour,219.85,800,800,False,0.5,0.6011,323.23,513.64,541.44,733.48
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,102,0,contour,218.21,800,800,False,0.5,0.6576,82.12,144.28,300.33,362.49
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,102,1,contour,219.85,800,800,False,0.5,0.6425,81.79,513.96,300.33,733.81
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,102,2,contour,215.6,800,800,False,0.5,0.6977,324.54,145.58,540.13,360.85
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,102,3,contour,216.9,800,800,False,0.5,0.7167,323.88,515.27,539.81,732.18
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,119,0,contour,215.92,800,800,False,0.5,0.643,83.42,143.95,299.35,359.87
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,119,1,contour,219.52,800,800,False,0.5,0.6262,81.79,512.98,300.33,732.5
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,119,2,contour,218.87,800,800,False,0.5,0.6395,324.87,143.29,543.73,361.83
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,119,3,contour,220.18,800,800,False,0.5,0.578,324.21,513.31,543.08,733.48
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,135,0,contour,218.54,800,800,False,0.5,0.6099,81.79,143.95,300.0,362.49
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,135,1,contour,219.52,800,800,False,0.5,0.5451,81.79,513.64,300.33,733.16
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,135,2,contour,218.87,800,800,False,0.5,0.6109,324.21,143.95,542.75,362.82
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,135,3,contour,219.85,800,800,False,0.5,0.6201,324.87,513.64,542.75,733.48
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,152,0,contour,217.89,800,800,False,0.5,0.5494,82.77,143.95,300.66,361.83
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,152,1,contour,220.18,800,800,False,0.5,0.5504,82.77,513.31,300.66,733.48
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,152,2,contour,215.6,800,800,False,0.5,0.6465,325.19,144.6,540.46,360.2
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,152,3,contour,220.5,800,800,False,0.5,0.614,323.56,513.31,541.77,733.81
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,169,0,contour,215.27,800,800,False,0.5,0.616,82.77,145.58,298.04,360.85
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,169,1,contour,220.5,800,800,False,0.5,0.6078,81.46,513.64,299.68,734.14
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,169,2,contour,218.54,800,800,False,0.5,0.5687,323.88,143.95,541.77,362.49
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,169,3,contour,219.85,800,800,False,0.5,0.6276,323.88,513.96,541.77,733.81
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,186,0,contour,218.54,800,800,False,0.5,0.6267,81.79,144.28,300.33,362.82
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,186,1,contour,216.58,800,800,False,0.5,0.633,83.42,515.6,299.02,732.18
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,186,2,contour,218.87,800,800,False,0.5,0.5716,322.9,143.95,541.44,362.82
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,186,3,contour,220.18,800,800,False,0.5,0.5883,323.23,513.96,541.44,734.14
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,203,0,contour,218.87,800,800,False,0.5,0.6429,81.79,142.64,300.66,361.51
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,203,1,contour,219.19,800,800,False,0.5,0.6502,81.79,513.31,300.33,732.5
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,203,2,contour,215.6,800,800,False,0.5,0.6841,326.17,144.6,541.77,360.2
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,203,3,contour,219.85,800,800,False,0.5,0.6338,324.87,512.98,543.08,732.83
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,219,0,contour,219.19,800,800,False,0.5,0.4908,81.79,142.64,300.33,361.83
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,219,1,contour,216.25,800,800,False,0.5,0.5577,83.42,514.94,298.69,731.19
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,219,2,contour,218.54,800,800,False,0.5,0.6194,324.87,143.29,543.08,361.83
