pdf,page,index,source,side_pt,native_width,native_height,trimmed,detector_score,texture,x0,y0,x1,y1
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,13,0,embedded,137.28,572,568,True,1.0,0.9443,59.05,173.39,196.33,309.71
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,19,0,embedded,136.32,568,568,True,1.0,0.8994,237.13,349.44,373.45,485.76
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,25,0,contour,117.76,800,800,False,0.5,0.9172,245.99,70.99,363.43,188.75
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,25,1,embedded,137.28,572,568,True,1.0,0.8581,237.13,359.99,374.41,496.31
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,30,0,embedded,137.28,572,568,True,1.0,1.0,59.05,325.07,196.33,461.39
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,30,1,contour,117.44,800,800,False,0.5,1.0,246.32,222.44,363.1,339.88
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,30,2,contour,117.44,800,800,False,0.5,1.0,246.32,402.68,363.43,520.12
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,36,0,embedded,137.28,572,564,True,1.0,0.8867,236.17,191.03,373.45,326.39
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,42,0,embedded,136.32,568,564,True,1.0,0.9053,236.65,60.11,372.97,195.47
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,48,0,embedded,137.28,572,568,True,1.0,0.9354,58.57,314.87,195.85,451.19
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,48,1,embedded,136.32,568,568,True,1.0,0.8878,236.17,382.08,372.49,518.4
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,77,0,embedded,136.32,568,564,True,1.0,0.9982,58.57,155.51,194.89,290.87
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,77,1,embedded,136.32,568,568,True,1.0,0.9794,236.17,328.31,372.49,464.63
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,83,0,embedded,167.04,632,696,True,0.9201,0.8147,43.21,30.72,194.89,197.76
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,89,0,embedded,136.32,568,564,True,1.0,0.8999,236.65,182.99,372.97,318.35
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,95,0,embedded,137.28,572,568,True,1.0,0.9306,236.65,342.36,373.93,478.68
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,107,0,embedded,137.28,572,568,True,1.0,0.9329,58.57,420.47,195.85,556.79
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,113,0,embedded,136.32,568,568,True,1.0,0.8986,59.05,114.83,195.37,251.15
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,119,0,embedded,136.32,568,568,True,1.0,0.9641,236.76,62.63,373.08,198.95
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,124,0,embedded,136.32,568,568,True,1.0,0.9025,237.13,181.44,373.45,317.76
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,130,0,embedded,136.32,568,568,True,1.0,1.0,59.05,60.11,195.37,196.43
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,130,1,embedded,136.32,568,568,True,1.0,1.0,236.65,60.11,372.97,196.43
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,136,0,embedded,136.32,568,568,True,1.0,0.9451,59.05,407.63,195.37,543.95
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,142,0,embedded,137.28,572,568,True,1.0,0.9303,236.65,164.75,373.93,301.07
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,154,0,embedded,155.52,568,648,True,0.8414,0.8902,236.65,381.71,372.97,537.23
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,160,0,embedded,137.28,568,572,True,1.0,1.0,60.01,59.15,196.33,196.43
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,160,1,embedded,137.28,572,572,True,1.0,1.0,59.05,226.19,196.33,363.47
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,160,2,embedded,136.32,568,568,True,1.0,1.0,60.01,395.16,196.33,531.48
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,160,3,embedded,137.28,572,568,True,1.0,1.0,236.65,59.15,373.93,195.47
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,160,4,embedded,137.28,572,568,True,1.0,1.0,236.65,227.15,373.93,363.47
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,160,5,embedded,136.32,568,568,True,1.0,1.0,237.61,395.16,373.93,531.48
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,166,0,embedded,145.92,608,568,True,0.9739,1.0,50.41,60.11,196.33,196.43
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,166,1,embedded,137.28,572,568,True,1.0,1.0,59.05,228.11,196.33,364.43
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,166,2,embedded,137.28,572,572,True,1.0,1.0,59.05,396.11,196.33,533.39
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,166,3,embedded,137.28,572,568,True,1.0,1.0,236.65,60.11,373.93,196.43
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,166,4,embedded,137.28,572,572,True,1.0,1.0,236.65,228.11,373.93,365.39
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,166,5,embedded,137.28,572,568,True,1.0,1.0,236.65,397.07,373.93,533.39
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,171,0,embedded,137.28,572,564,True,1.0,1.0,236.17,111.35,373.45,246.71
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,177,0,embedded,137.28,572,568,True,1.0,1.0,58.57,370.56,195.85,506.88
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,183,0,embedded,136.32,568,568,True,1.0,1.0,237.13,336.95,373.45,473.27
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,189,0,embedded,137.28,572,568,True,1.0,0.9818,58.57,418.55,195.85,554.87
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,201,0,embedded,137.28,572,568,True,1.0,1.0,58.57,383.04,195.85,519.36
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,213,0,embedded,137.28,572,568,True,1.0,1.0,59.05,282.84,196.33,419.16
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,213,1,embedded,144.96,604,568,True,0.9915,1.0,237.61,413.39,382.57,549.71
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,254,0,embedded,154.56,1288,1256,True,1.0,0.7525,242.29,368.27,396.85,518.99
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,260,0,embedded,151.68,1264,1264,True,1.0,0.8018,43.57,216.59,195.25,368.27
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,260,1,embedded,153.6,1280,1264,True,1.0,0.8065,243.25,443.16,396.85,594.84
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,271,0,embedded,152.64,1272,1264,True,1.0,0.7185,44.17,163.19,196.81,314.87
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,277,0,embedded,153.6,1280,1256,True,1.0,0.7456,243.25,142.68,396.85,293.4
